id,kodeToko,createdAt,tokoId,items,tokoNama,catatan,total
"1cLsxUTGQqEVR5G7VfaX","K0373","2025-10-28T07:40:05.000Z","ImE48v9OEwbSNMRIb16y","[{""isiPerBox"":50,""hargaPerBox"":80000,""nama"":""CHOCO MALT"",""total"":80000,""productId"":""NOHAYE89jzvVJFKZcLFB"",""qtyBox"":1},{""total"":97000,""isiPerBox"":50,""qtyBox"":1,""productId"":""IDeDw8ay7rGfQANXeYLM"",""nama"":""CHOCOLATE STICK (BINGO)"",""hargaPerBox"":97000},{""qtyBox"":1,""productId"":""L0uQuYqgS8Q4smIuyRs4"",""nama"":""CRISPY BALLS COOKIS"",""isiPerBox"":40,""total"":118500,""hargaPerBox"":118500},{""total"":92500,""isiPerBox"":40,""productId"":""EF26XY2EwO1i35LRXuBv"",""nama"":""MOCHI PEACH"",""hargaPerBox"":92500,""qtyBox"":1},{""productId"":""xJbJEd4mYcSMcB4V4492"",""total"":92500,""nama"":""MOCHI VANILLA"",""isiPerBox"":40,""hargaPerBox"":92500,""qtyBox"":1},{""qtyBox"":1,""nama"":""SUNDAE CHOCOLATE"",""hargaPerBox"":97000,""isiPerBox"":24,""total"":97000,""productId"":""QLk1TKlyQAC1EHOPZ7M6""},{""nama"":""TARO CRISPY"",""isiPerBox"":40,""total"":96500,""qtyBox"":1,""productId"":""U3qfJlCyL3zOiNLFUFkb"",""hargaPerBox"":96500},{""total"":115200,""isiPerBox"":48,""nama"":""VANILLA BERRY CONE"",""productId"":""Hzn6DvSXYxLmhtuekqkk"",""qtyBox"":1,""hargaPerBox"":115200}]","MADUN","","789200"
"24UM9K95LZWiG2H9SSOp","K0525","2025-10-23T03:00:02.107Z","IrbkzdFUGCvAzQv01tks","[{""nama"":""FRUIZY BLUEBERRY YOGURT"",""isiPerBox"":40,""hargaPerBox"":96000,""total"":96000,""qtyBox"":1,""productId"":""iegvzVPz0yZbNTHzwcj3""},{""qtyBox"":1,""isiPerBox"":40,""hargaPerBox"":110000,""nama"":""STRAWBERRY CRISPY"",""total"":110000,""productId"":""4ZGi81slpOycqNbJ8lvW""},{""hargaPerBox"":97000,""qtyBox"":1,""productId"":""QLk1TKlyQAC1EHOPZ7M6"",""nama"":""SUNDAE CHOCOLATE"",""isiPerBox"":24,""total"":97000},{""hargaPerBox"":97000,""nama"":""SUNDAE STRAWBERRY"",""isiPerBox"":24,""total"":97000,""productId"":""aok5I2XQHFg2m97mC387"",""qtyBox"":1},{""hargaPerBox"":96000,""nama"":""SWEET CORN"",""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""qtyBox"":1,""isiPerBox"":40,""total"":96000}]","KANTIN SMA AL HIKMAH","Order dari kunjungan: ","496000"
"28KK6TGP4FyPPkIS1HGs","K1656","2025-11-01T03:12:35.111Z","4RrFtYEGtIzcVvzYWaMY","[{""total"":80000,""hargaPerBox"":80000,""nama"":""CHOCO MALT"",""qtyBox"":1,""isiPerBox"":50,""productId"":""NOHAYE89jzvVJFKZcLFB""},{""qtyBox"":1,""hargaPerBox"":97000,""nama"":""CHOCOLATE STICK (BINGO)"",""isiPerBox"":50,""productId"":""IDeDw8ay7rGfQANXeYLM"",""total"":97000},{""hargaPerBox"":118500,""nama"":""CRISPY BALLS ORIGINAL"",""productId"":""kaxtCMx6rMhQn9EbjJAw"",""qtyBox"":1,""isiPerBox"":30,""total"":118500},{""total"":124800,""qtyBox"":1,""hargaPerBox"":124800,""productId"":""sKjCtHbEsvTpBhbQOyHB"",""isiPerBox"":40,""nama"":""FRUITY ROLL""},{""nama"":""MILK MELON"",""productId"":""y44wV7EqlAwgQKUJj38O"",""total"":95000,""hargaPerBox"":95000,""isiPerBox"":40,""qtyBox"":1},{""productId"":""4ZGi81slpOycqNbJ8lvW"",""qtyBox"":1,""hargaPerBox"":110000,""isiPerBox"":40,""nama"":""STRAWBERRY CRISPY"",""total"":110000},{""total"":96000,""isiPerBox"":40,""qtyBox"":1,""hargaPerBox"":96000,""nama"":""SWEET CORN"",""productId"":""bNkl5FX7SlWzgxLhu2Pw""},{""qtyBox"":1,""isiPerBox"":48,""hargaPerBox"":115200,""nama"":""VANILLA BERRY CONE"",""productId"":""Hzn6DvSXYxLmhtuekqkk"",""total"":115200}]","SD IT AL HUSNA PELEMKEREP","Order dari kunjungan: ","836500"
"2JPIEij7iziegGlFsBoA","K1911","2025-10-08T04:52:41.964Z","878SE6zfogSZSvQEzaQC","[{""total"":80000,""isiPerBox"":50,""nama"":""CHOCO MALT"",""productId"":""NOHAYE89jzvVJFKZcLFB"",""qtyBox"":1,""hargaPerBox"":80000},{""productId"":""IDeDw8ay7rGfQANXeYLM"",""total"":97000,""nama"":""CHOCOLATE STICK"",""isiPerBox"":50,""qtyBox"":1,""hargaPerBox"":97000},{""nama"":""FRUIZY GRAPE"",""isiPerBox"":50,""qtyBox"":1,""hargaPerBox"":80000,""productId"":""KtjGECYEwOyqkWM0Iu4E"",""total"":80000},{""nama"":""MIKI-MIKI"",""isiPerBox"":60,""total"":93500,""hargaPerBox"":93500,""qtyBox"":1,""productId"":""Uu5WSQZmqTLoXc9oxlUj""},{""isiPerBox"":40,""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""qtyBox"":1,""nama"":""SWEET CORN"",""hargaPerBox"":96000,""total"":96000}]","TOKO VIANA","Order dari kunjungan:","446500"
"2nFM3lHwy8yP5mf3ZqBU","K0721","2025-10-04T08:07:39.371Z","B432NajzpIiYQHMjsajM","[{""qtyBox"":1,""total"":97500,""hargaPerBox"":97500,""isiPerBox"":24,""productId"":""bIHGFn5MHtXpqVeM9enF"",""nama"":""CHOCOMELT CONE""},{""isiPerBox"":30,""qtyBox"":1,""nama"":""CRISPY BALLS ORIGINAL"",""total"":118500,""hargaPerBox"":118500,""productId"":""kaxtCMx6rMhQn9EbjJAw""},{""hargaPerBox"":78000,""productId"":""N8oPUfk4JcfNuyfZeRcM"",""qtyBox"":1,""total"":78000,""nama"":""JERUK"",""isiPerBox"":50},{""total"":93500,""hargaPerBox"":93500,""productId"":""R52hO3IOVzVI3PRqPmGP"",""qtyBox"":1,""isiPerBox"":60,""nama"":""MIKI-MIKI DOUBLE CHOCO""},{""total"":97000,""nama"":""SUNDAE STRAWBERRY"",""productId"":""aok5I2XQHFg2m97mC387"",""isiPerBox"":24,""hargaPerBox"":97000,""qtyBox"":1}]","ALIYA CELL","","484500"
"2pTUCW4errpR3dHU3SZc","K2008","2025-10-07T08:15:14.478Z","gHbbLlkgBIfTYKv7O0G6","[{""hargaPerBox"":117000,""qtyBox"":1,""isiPerBox"":30,""nama"":""CHOCOLATE CRISPY"",""productId"":""ETb42XTcLpBbcC1aLhcb"",""total"":117000},{""total"":110000,""hargaPerBox"":110000,""isiPerBox"":40,""qtyBox"":1,""productId"":""BaaVl0Oq2oHnOUy1Cfuw"",""nama"":""COFFE CRISPY""},{""isiPerBox"":40,""hargaPerBox"":118500,""productId"":""L0uQuYqgS8Q4smIuyRs4"",""total"":118500,""qtyBox"":1,""nama"":""CRISPY BALLS COOKIS""},{""qtyBox"":1,""hargaPerBox"":96000,""isiPerBox"":40,""total"":96000,""productId"":""iegvzVPz0yZbNTHzwcj3"",""nama"":""FRUIZY BLUEBERRY YOGURT""},{""total"":94500,""nama"":""MOCHI MANGO"",""qtyBox"":1,""isiPerBox"":40,""hargaPerBox"":94500,""productId"":""PnPJnogSXAiytWfTxQWM""},{""isiPerBox"":24,""nama"":""SUNDAE STRAWBERRY"",""hargaPerBox"":97000,""qtyBox"":1,""total"":97000,""productId"":""aok5I2XQHFg2m97mC387""}]","TOSERBA JIWA MART","Order dari kunjungan: ","633000"
"2tTjvHZb26TQrEz1po2v","K2008","2025-10-21T07:58:00.328Z","gHbbLlkgBIfTYKv7O0G6","[{""nama"":""CRISPY BALLS ORIGINAL"",""qtyBox"":1,""isiPerBox"":30,""hargaPerBox"":118500,""total"":118500,""productId"":""kaxtCMx6rMhQn9EbjJAw""},{""hargaPerBox"":90500,""total"":90500,""qtyBox"":1,""productId"":""xaB42zjrDkGuzdTP7tpO"",""isiPerBox"":30,""nama"":""MANGO SLUSH""},{""nama"":""MILK MELON"",""productId"":""y44wV7EqlAwgQKUJj38O"",""hargaPerBox"":95000,""qtyBox"":1,""total"":95000,""isiPerBox"":40},{""hargaPerBox"":92500,""total"":92500,""isiPerBox"":40,""qtyBox"":1,""productId"":""EF26XY2EwO1i35LRXuBv"",""nama"":""MOCHI PEACH""},{""total"":110000,""nama"":""STRAWBERRY CRISPY"",""hargaPerBox"":110000,""qtyBox"":1,""productId"":""4ZGi81slpOycqNbJ8lvW"",""isiPerBox"":40},{""nama"":""SUNDAE CHOCOLATE"",""productId"":""QLk1TKlyQAC1EHOPZ7M6"",""hargaPerBox"":97000,""isiPerBox"":24,""total"":97000,""qtyBox"":1}]","TOSERBA JIWA MART","Order dari kunjungan:","603500"
"35j6Xsz4Ow6OhSZNXmjb","K1127","2025-09-30T17:00:00.000Z","yBsQQkZjVb4f23z50jbC","[{""qtyBox"":1,""nama"":""CHOCO MALT"",""productId"":""NOHAYE89jzvVJFKZcLFB"",""total"":80000,""hargaPerBox"":80000,""isiPerBox"":50},{""total"":93500,""nama"":""MIKI-MIKI DOUBLE CHOCO"",""isiPerBox"":60,""productId"":""R52hO3IOVzVI3PRqPmGP"",""qtyBox"":1,""hargaPerBox"":93500},{""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""nama"":""SWEET CORN"",""qtyBox"":1,""total"":96000,""hargaPerBox"":96000,""isiPerBox"":40}]","ULFA KHASANAH","","269500"
"36SspDTHZYheg706vIfc","K0391","2025-10-27T01:34:17.336Z","j5OQBnhs4A8lXEY9aNI4","[{""isiPerBox"":40,""nama"":""COFFE CRISPY"",""productId"":""BaaVl0Oq2oHnOUy1Cfuw"",""qtyBox"":1,""hargaPerBox"":110000,""total"":110000},{""hargaPerBox"":96000,""qtyBox"":1,""nama"":""FRUIZY BLUEBERRY YOGURT"",""productId"":""iegvzVPz0yZbNTHzwcj3"",""isiPerBox"":40,""total"":96000},{""isiPerBox"":30,""total"":90500,""qtyBox"":1,""hargaPerBox"":90500,""productId"":""xaB42zjrDkGuzdTP7tpO"",""nama"":""MANGO SLUSH""},{""total"":95000,""productId"":""y44wV7EqlAwgQKUJj38O"",""qtyBox"":1,""isiPerBox"":40,""hargaPerBox"":95000,""nama"":""MILK MELON""},{""total"":110000,""isiPerBox"":40,""nama"":""STRAWBERRY CRISPY"",""hargaPerBox"":110000,""qtyBox"":1,""productId"":""4ZGi81slpOycqNbJ8lvW""},{""nama"":""SWEET CORN"",""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000}]","ELLA 2 KANTIN MTS BALEKAMBANG","","597500"
"3Cujf0BYsuYLlqSRlR1N","K0373","2025-10-21T00:10:38.960Z","ImE48v9OEwbSNMRIb16y","[{""total"":92000,""nama"":""2 COLOR"",""qtyBox"":1,""isiPerBox"":40,""hargaPerBox"":92000,""productId"":""jJ0aqMzW8XNZeKsXBWuQ""},{""hargaPerBox"":93500,""productId"":""Uu5WSQZmqTLoXc9oxlUj"",""nama"":""MIKI-MIKI"",""isiPerBox"":60,""qtyBox"":2,""total"":187000},{""qtyBox"":1,""productId"":""R52hO3IOVzVI3PRqPmGP"",""hargaPerBox"":93500,""nama"":""MIKI-MIKI DOUBLE CHOCO"",""isiPerBox"":60,""total"":93500},{""nama"":""MOCHI PEACH"",""isiPerBox"":40,""qtyBox"":1,""hargaPerBox"":92500,""total"":92500,""productId"":""EF26XY2EwO1i35LRXuBv""},{""isiPerBox"":50,""productId"":""k7TnmqAqR1yAmsY042eK"",""nama"":""SEMANGKA"",""total"":77500,""qtyBox"":1,""hargaPerBox"":77500},{""total"":96000,""isiPerBox"":40,""qtyBox"":1,""productId"":""bNkl5FX7SlWzgxLhu2Pw"",""hargaPerBox"":96000,""nama"":""SWEET CORN""}]","MADUN","","638500"
