id,catatan,createdAt,items,tokoNama,tokoId,kodeToko,total
"3PD0IqnHEfaVLjujhqKh","","2025-10-10T03:58:05.914Z","[]","NIKMAT SEMBAKO","ZPG57TQu3HgMHFcjJS94","K1543","0"
"3R1IfEpfrRB3HHFwNKLs","","2025-10-07T03:58:08.089Z","[]","ILMA JAYA","1pS2Vw8a9fu0UurNB4v7","K1118","0"
"3ZrvjDD7TbUZNSH5G7Re","","2025-11-14T08:28:13.353Z","[]","SDN 1 BAKALAN ( TOKO SEMBAKO AHLIS )","Djb9VhTmktwIGcPkALLf","K2015","0"
"3o3UCskkXpvK1nX0TYx1","","2025-11-13T08:48:02.917Z","[]","SAMI JF MART","LjHKUWJDhaxyFOLArIdi","K1298","0"
"3yV7nRUvTMZqK7zvrCJA","","2025-09-30T15:55:36.865Z","[]","SRI REJEKI","r0Tw7NkLQD1aajraFOUW","K1209","0"
"41QLasgglJLbVav7M1i9","","2025-10-10T06:48:57.665Z","[]","M. FAIZUN","UakrWJWMX4JcwWKopZSl","K1614","0"
"463xBF8rNQf9cYRbXDMU","","2025-10-29T03:21:04.578Z","[]","TOKO SAUDARA","tdeA3VNFi7t8G3VWRUm6","K1916","0"
"4C4Rzl3VOE4aerQSAdd4","","2025-10-20T02:05:39.958Z","[]","BU ISTIANAH ( MTS URWATIL WATSQO )","WbtoNXx8lwUgS8s1ojLR","K2066","0"
"4EmFSt6Da1gYLngLBzjp","","2025-11-03T07:54:54.193Z","[]","APOTEK PANCUR","P3S3LmNnq4sCQ7YUieWO","K0352","0"
"4JEJEKoHYA7HfGy4vF9o","","2025-10-16T09:33:45.176Z","[]","MADURA BUNDA","9pGAxSxQpP97NFr46tWJ","K2077","0"
"4NElsaJJyKvG9QVVJ3me","","2025-11-08T03:06:38.146Z","[]","RIYADLUL QUR'AN","MBtynOjLtaD7KngRrvOo","K1286","0"
"4QrP6Pw4r69EFNLIQFY1","","2025-10-30T05:04:39.429Z","[]","Toko Koss Mart","lNRFpK00n4trF3j94v5p","K2014","0"
"4RI5lBITqJEVZpFmxBMg","","2025-10-27T06:34:37.000Z","[]","MUNAWAROH","eLh6QEH4U1yPXyxJUerC","K1121","0"
"4WrlQ1Bsjw6xyte7ibST","","2025-10-22T10:14:11.621Z","[]","TOKO BINTANI MART","Hfn7DH6eAWCVrAkmczwl","K1409","0"
"4aAX8PhXatNO3Bsz2Yl2","","2025-11-14T03:10:15.105Z","[]","SD IT AL HUSNA 2","dFJRnjEcCGZjVJ3vtZTF","K1759","0"
"4kwM1Lt4L1DoFsPdngrU","","2025-09-30T15:52:59.193Z","[]","SD 3 MEDINI","JIyyabcbkCcvnaispiaO","K1683","0"
"4lTCpFo1hRMC6DU8T7qV","","2025-10-09T08:44:50.653Z","[]","YANI","wa6cy9OSn1Nt8nknPGk4","K0462","0"
"4tzJzTMCDG5AemtbRBWv","","2025-10-07T05:59:06.456Z","[]","RESTU","ZpXCeOmAOnXDVw7mocUq","K0743","0"
"52A7VJsOYpUYudsFdoMW","","2025-11-11T02:38:29.123Z","[]","MBAK YUYUN","xp0ZRBc7iUKQ0VDFMW5Y","K0379","0"
"57m5djLLsvuiH10CqZiR","","2025-10-18T03:39:34.760Z","[]","RIYADLUL QUR'AN","MBtynOjLtaD7KngRrvOo","K1286","0"
"58VmlsGqSGOSmxoxnWCk","","2025-10-13T05:07:26.455Z","[]","SD 3 BUNGU","nhuEhSvTkbCX7F1rYyfg","K1787","0"
"5d23KqEh0O6wAymGR29U","Semqngka 74
Nanas 4
Jagung 33","2025-10-04T02:31:47.503Z","[]","MI SYUMUSUL HUDA","GMtCP1QmCDJ6WK1Fzvee","K1819","0"
"5lVOfYSECMp4djN3i007","","2025-11-06T03:07:18.000Z","[]","SMK ISLAM AL HIKMAH MAYONG","8k5mHDdqhzvAFdnkqWei","K1387","0"
"628vMGKwTXMvs6KXuy1o","","2025-10-01T06:06:25.122Z","[]","TOKO VANIA","OoHRaxncqsL1ElG0jLeK","K1868","0"
"6BR94mSJwQBZiMQZbBmE","","2025-10-14T04:00:19.505Z","[]","SD 3 BUARAN","ebebnNTVsoHmjsVzpaxp","K1788","0"
"6CqJm1E0Kgl5ej596x4j","","2025-11-07T05:04:45.950Z","[]","ENDANG RISTIYOWATI","f2Z73egCvMj4PXs56DKE","K0532","0"
"6NLjuFfqpDFvxi5MWQpM","","2025-10-14T04:01:18.409Z","[]","ELLA 2 KANTIN MTS BALEKAMBANG","j5OQBnhs4A8lXEY9aNI4","K0391","0"
"6O2xkYaeBXHW15ASYu7V","","2025-10-25T05:21:20.396Z","[]","RATU WALI","7l4t8ictEySaPyXnKMDa","K1498","0"
"6X8mOY7wDJa6NGj9Fl32","","2025-10-04T06:21:14.106Z","[]","ABYAN CAKE","YPpBOMPT2aukjCk1wvxw","K1613","0"
"6XIgODBmB3rDefbAkF7b","","2025-09-30T15:46:36.313Z","[]","AZKA JAYA","8qmFIegBFrcChbhUWEP1","K1265","0"
"6YErVlOWir7sCLYN38wi","","2025-11-11T03:54:54.205Z","[]","SD 1 BUARAN MAYONG","NKsOqczLvbzUQOrPcTvY","K1751","0"
"6klR4gutCoB15jSxXqHc","","2025-11-03T03:34:33.073Z","[]","TOKO ANUGERAH","IQtU1AxfLTPqglkim04O","K1969","0"
"6vRo03RzvY56iPjCE2FL","","2025-10-21T04:22:57.447Z","[]","ILMA JAYA","1pS2Vw8a9fu0UurNB4v7","K1118","0"
"71lHQVEjlYXtbjcQxjAg","","2025-10-07T02:36:34.042Z","[]","TOKO HALIMAH","xLheMxVZ8I1BWrwmFw48","K1607","0"
"73GbhWkKec6Sxt9ls0Ly","","2025-10-25T03:51:36.282Z","[]","FARIDA ERYANTI","jNgDfhGZ4mVvt8VJrRX7","K2005","0"
"77iHc9NIj1ih0F2cGrkI","","2025-10-16T03:34:35.749Z","[]","TOKO HAPSARI","ZwFykP7rgzkf1aJM6g3n","K1936","0"
"7E9XmILNzDquzjHOuJyu","","2025-09-30T15:45:30.269Z","[]","LINDA ALDINA","U9xR5JynZ7Jjn3kBAFvc","K1401","0"
"7QZ0YA4UVamTZqhnCZi4","","2025-10-26T17:00:00.000Z","[]","TOKO ZUMAEROH","S3sXgtgCOOvXYK2lhUtV","K1599","0"
"7YksNjhsOToPGE7Y8McT","","2025-11-08T05:23:57.116Z","[]","ABIYAN CAKE","YPpBOMPT2aukjCk1wvxw","K1613","0"
"7ZeqVzOQnoH9DR4ZtyY7","","2025-11-14T04:58:37.076Z","[]","M. FAIZUN","UakrWJWMX4JcwWKopZSl","K1614","0"
"7f791TjhkNfuzKvRnWgO","","2025-10-11T03:28:35.514Z","[]","RIYADLUL QUR'AN","MBtynOjLtaD7KngRrvOo","K1286","0"
"7s7jC0JswKHPJ8WPHPtV","","2025-10-07T08:35:56.538Z","[]","MADUN","ImE48v9OEwbSNMRIb16y","K0373","0"
"7yhi8pV2znbA7zkAyoQD","","2025-11-13T03:01:38.559Z","[]","KANTIN SMA AL HIKMAH","IrbkzdFUGCvAzQv01tks","K0525","0"
"80HAjD0pYd3BXuRAfTlw","","2025-11-13T03:05:44.091Z","[]","LINAWATI SMU MUH 2","hWaUvcWJzlPMr3hZZqH7","K1197","0"
"81K02sKYihj6seMuB9mS","","2025-10-02T05:27:55.370Z","[]","WARUNG MADURA AL AMIN 2","LrDGivjSfm58oJ7eILXz","K1649","0"
"84rzTQousbpGU5QicsK8","","2025-10-02T07:29:27.042Z","[]","SISWANTO","sSufgeU8YIyZrAOZbEO6","K0526","0"
"86X2xC2AiyHsFCdKmBUd","","2025-10-14T05:21:26.100Z","[]","RESTU","ZpXCeOmAOnXDVw7mocUq","K0743","0"
"8NfCdHHdeGl3JeHjP5LP","","2025-11-10T05:18:40.858Z","[]","SD 3 BUNGU","nhuEhSvTkbCX7F1rYyfg","K1787","0"
"8XGiFeKOSM4zTI71QyaH","","2025-11-04T04:13:11.526Z","[]","NOR AMIN MAHMUD","CfKdWWsPbcqw3KjtwI29","K1987","0"
"8gy1yiXg85ex6vKtcOyO","","2025-09-30T15:55:16.864Z","[]","SD 2 SAMBUNG","5k0IiX8BPmDGfqaE43fc","K1684","0"
"8ySDmdiYiSQvqJeNVgJs","","2025-10-04T05:26:32.013Z","[]","WAKHIDATUS SHOLEHAH","kHooCaS0ksQrVzljSVVi","K1923","0"
"8ysEUJnESJjoq8qzDZgH","","2025-11-11T09:49:40.754Z","[]","ELLA 3 SMK PUTRI BALEKAMBANG","z3pT9BDTtISnQFgCmOtx","K0392","0"
"9MPQY2n6k36L9iHUjam9","","2025-09-30T15:52:41.083Z","[]","ASROFI","UrH2f6s6EPPQrYHqN6CP","K0425","0"
"9Mssw7j9jYXODcpV1sQZ","","2025-10-08T04:52:41.818Z","[]","TOKO VIANA","878SE6zfogSZSvQEzaQC","K1911","0"
"9NW6jrqiDNoJui19CvcL","","2025-10-22T04:02:05.187Z","[]","TOKO SHERLY","VktFHlWljj8CqZVnsjtM","K1500","0"
"9TQ1Nl3LU2GtCOdKti3Z","","2025-10-30T09:41:09.095Z","[]","SAMI JF MART","LjHKUWJDhaxyFOLArIdi","K1298","0"
"9rvthw1Lo29DSjCp2MGk","","2025-11-07T09:11:08.264Z","[]","M. FAIZUN","UakrWJWMX4JcwWKopZSl","K1614","0"
"A2HLJQtLjrG5lIYioWf4","","2025-11-01T03:32:18.976Z","[]","WAKHIDATUS SHOLEKHAH","kHooCaS0ksQrVzljSVVi","K1923","0"
"AB23qhjvBughkOYMJE9R","","2025-10-10T09:05:07.657Z","[]","WINARNO","9uWRqV8KbynkKmi3nulk","K2021","0"
"AC1tuuFS7rtEfzrXfVCI","","2025-11-01T04:08:35.284Z","[]","ABIYAN CAKE","YPpBOMPT2aukjCk1wvxw","K1613","0"
"ADm9Wdb9YMItkcmrYxMh","","2025-10-03T08:08:45.862Z","[]","SDN 1 BAKALAN ( TOKO SEMBAKO AHLIS )","Djb9VhTmktwIGcPkALLf","K2015","0"
"AKN3CGzguNkXD8oWp9nq","","2025-10-03T08:42:36.094Z","[]","TOKO RAHMAT","hrGSsYjRN0DC2i3QPnxO","K1816","0"
"ALYtzFdUZuANvcUnfetn","","2025-11-03T03:34:40.920Z","[]","TOKO ZUMAEROH","S3sXgtgCOOvXYK2lhUtV","K1599","0"
"ARUViF3dQLj4T0jQqsBj","","2025-10-29T06:48:36.991Z","[]","TOKO MBAK RINI","6pw30ZdwX1mjmVnAvMaL","K1725","0"
"ATMfXriILHc4V6zk0gHV","","2025-11-14T03:10:34.419Z","[]","MUSYAFAK","jVJBm18ggKRwQ9dO6sPu","K0512","0"
"AYXNKEbURRfkLflAyJdo","","2025-10-16T09:33:35.103Z","[]","LAKSITA SWALAYAN","pfVW6jSIplI2WXaQvEB7","K2101","0"
"Ae2E2SpepZCksHngqmFE","","2025-11-08T03:58:52.378Z","[]","TOKO IBU AMIN","AkprBUTUqD1gZOpeqLQy","K0503","0"
"AgZB8R0tgR62sz0Q9sq9","","2025-10-23T03:00:02.107Z","[]","KANTIN SMA AL HIKMAH","IrbkzdFUGCvAzQv01tks","K0525","0"
"Akx298jsZRIcmiOheKgQ","","2025-10-15T10:22:23.908Z","[]","TOKO BINTANI MART","Hfn7DH6eAWCVrAkmczwl","K1409","0"
"AugHcIzxGjWXXnPELZWV","","2025-11-01T05:18:57.668Z","[]","ALHUSNA MART","i3vRFtdn75Z0P1RiyJus","K0439","0"
"B1JN1bVl7XxzUHLgiPFr","","2025-11-05T03:21:02.905Z","[]","TOKO SAUDARA","tdeA3VNFi7t8G3VWRUm6","K1916","0"
"B7vA2TsgvghLQUATULXz","","2025-10-09T10:38:34.254Z","[]","YANI 2","QHP3VKx7Xl66YirpJdsY","K1018","0"
"B8sdkdEGG5Uf9grLg81W","","2025-11-12T08:58:02.329Z","[]","ENDANG SRI WAHYUNI","517lFqCrv4ylnAybXBuH","K1367","0"
"B9nPVpBBkpV7rzLparZ5","","2025-10-16T08:03:18.480Z","[]","TOKO LISA","d2fNqoVzXHxTmpY3E8v6","K1899","0"
"BIGD28RWJcIvNkoyvefl","","2025-10-07T09:59:49.359Z","[]","ELLA 3 SMK PUTRI BALEKAMBANG","z3pT9BDTtISnQFgCmOtx","K0392","0"
"BP7hPrMD2lzs4dPgu63F","","2025-11-05T06:11:02.616Z","[]","ABDUL MUJIB","t2gz4up7sN675kePt6Oc","K1315","0"
"BUqHPPImvQMhBz3Rw7ZG","","2025-10-20T05:16:07.819Z","[]","TOKO PAK MUL","R1Nb2wQKva33PYzOOokI","K1323","0"
"BVDqGnkuzxaBTPV5XBRI","","2025-11-08T06:54:24.175Z","[]","TRANSIT MART 2","HsBqJ8NfGtWtPy4dtOUp","K1534","0"
"BVwcpQc82j1aVlybepQ0","","2025-10-09T09:21:16.410Z","[]","BERKAH SHOLAWAT","YfBQlzNngeGfMuvgAEuJ","K1476","0"
"Bk5WjD87TMzP05TjoqBk","","2025-10-06T08:00:05.671Z","[]","TOKO RIZKY OS","cBXhRkwzErSSQ2yHFz8H","K1502","0"
"BmeZjqIA5OCELVuL4bWU","","2025-10-31T03:52:03.000Z","[]","SDN 1 BAKALAN ( TOKO SEMBAKO AHLIS )","Djb9VhTmktwIGcPkALLf","K2015","0"
"BrotJjxu9tckEU9XEI19","","2025-11-01T04:51:44.468Z","[]","PONPES MAYONG/ AL ISHOM","e3G6RcX2g2UHxpjV4Pem","K0991","0"
"Bx67Ch6HLUeTt4Cn7AFf","","2025-10-09T03:00:22.171Z","[]","SMK ISLAM AL HIKMAH MAYONG","8k5mHDdqhzvAFdnkqWei","K1387","0"
"C6S6OCxIPakfk4fH9CFw","","2025-11-08T05:41:32.174Z","[]","PONPES MAYONG/ AL ISHOM","e3G6RcX2g2UHxpjV4Pem","K0991","0"
"CDdG8mepslwOyHRBTipg","","2025-10-27T04:35:57.402Z","[]","RONDHI ARDIYANTO","rZ5BOP8Og7Zb2P9x4xE6","K0936","0"
"CVB29uMGJDNvMFwDqKGm","","2025-10-16T06:47:26.904Z","[]","YANI","wa6cy9OSn1Nt8nknPGk4","K0462","0"
"CiiAZRTEgyCoyc7dy0TG","","2025-10-14T09:44:24.865Z","[]","ELLA 3 SMK PUTRI BALEKAMBANG","z3pT9BDTtISnQFgCmOtx","K0392","0"
"Cu0MncE3lMY4rFFwBaKK","","2025-10-02T03:57:22.544Z","[]","SEJAHTERA FROZEN FOOD","0nchyPCKCX7ahDdo6icy","K1854","0"
"CwQuVG1fIqUzvZtUvs4S","","2025-10-23T02:17:41.209Z","[]","SMK ISLAM AL HIKMAH MAYONG","8k5mHDdqhzvAFdnkqWei","K1387","0"
"CzprzIRfGMp0wOOVPFTW","","2025-10-16T05:32:16.521Z","[]","PUTRA / ADE ZONE","36KgS7wC1Qnude8tPEJW","K1480","0"
"D2e8txCzGE84vz31DWqo","","2025-10-14T07:34:40.601Z","[]","TOSERBA JIWA MART","gHbbLlkgBIfTYKv7O0G6","K2008","0"
"DA28J6X9CCxF6BKadxu9","","2025-11-14T06:26:33.072Z","[]","SUMUK CELL","97dQ3fc5oJLPHPNSZvPe","K0504","0"
"DLFfWbu2fhXqERxt6hFR","","2025-11-06T06:28:03.941Z","[]","LINAWATI SMU MUH 2","hWaUvcWJzlPMr3hZZqH7","K1197","0"
"DSdU4p4KRTJruSlAQgIN","","2025-11-11T06:46:21.796Z","[]","IRWAN CELL","AiIHhFRAFqyGOx3AgdFI","K1867","0"
"DgMUP4FdxBwQQtvOkfzQ","","2025-10-16T04:00:42.104Z","[]","KANTIN SMA AL HIKMAH","IrbkzdFUGCvAzQv01tks","K0525","0"
"Dgmk0WvovulN7u5AgSh1","","2025-10-12T04:09:13.590Z","[]","ABIYAN CAKE","YPpBOMPT2aukjCk1wvxw","K1613","0"
"DhqmOZizyAgm6RG83jaN","","2025-11-01T03:33:03.014Z","[]","MBAK IS","Sd6g46vJ9IKhkDW5DXlf","K0485","0"
"Dov8AS3MQnyEOUemmt5l","","2025-10-27T06:05:33.759Z","[]","AISYA","4m6k3Lx6PkBmmkEOUFc1","K1128","0"
"E2XZTiPnL92BCcmoKVpS","","2025-11-08T05:41:25.902Z","[]","RATU WALI","7l4t8ictEySaPyXnKMDa","K1498","0"
"E4CcA8O6TAp0jv0MrwKN","","2025-10-21T09:06:37.407Z","[]","TOKO BU MUSRIFAH","1JROdrCwYQFtHPCZ63RC","K1943","0"
"EC3tdBAwrRWxdnU2N2CW","","2025-11-11T06:46:15.059Z","[]","SIDO MULYO","qBgHRkFD88KqnN8yy52I","K1484","0"
"EHr3rpJAXt2pBOfT9H50","","2025-10-21T02:47:27.922Z","[]","TOKO HALIMAH","xLheMxVZ8I1BWrwmFw48","K1607","0"
"EK45RKYHRPow4dY3ohxj","","2025-10-08T05:44:38.337Z","[]","TOKO SAUDARA","tdeA3VNFi7t8G3VWRUm6","K1916","0"
"ESrBJ1QDyNnGgDgEcJAu","","2025-11-07T07:04:13.000Z","[]","MUSYAFAK","jVJBm18ggKRwQ9dO6sPu","K0512","0"
"EcIJoJiBsILSTByAiCvZ","","2025-10-08T10:24:34.097Z","[]","TOKO ALI","pfBZeBBflEj9cMD0uZa2","K1154","0"
"EddJmAnYJIFdqR8u5e7Z","","2025-10-23T02:06:19.881Z","[]","SD NEGERI 2 PELEMKEREP MAYONG","xzGm4L1aBwzxJUEjFEWG","K1332","0"
"Epzg9bOx9XI9JpaVIxdb","","2025-10-21T09:08:10.280Z","[]","ELLA 3 SMK PUTRI BALEKAMBANG","z3pT9BDTtISnQFgCmOtx","K0392","0"
"ErGBck3Ayvst4amqbllj","","2025-10-22T10:07:12.857Z","[]","KHUDIN","I2ckekmi55nhDdQ2RGZn","K0661","0"
"EvigGd4gHMokPoqAw8Nv","","2025-10-08T03:24:24.100Z","[]","MUNTATIAH","bEH9JBG9XfbqU2R8PKNC","K1366","0"
"F0mMOqw1hoyzYmGKBv4U","","2025-10-06T08:16:34.658Z","[]","MUHKAFI","yUpqWUQuZmgdXeW3bt5N","K1832","0"
"F0n8HNM609XE139j9ReD","","2025-10-14T03:11:59.757Z","[]","MBAK YUYUN","xp0ZRBc7iUKQ0VDFMW5Y","K0379","0"
"FD0FCsF1WsGQXfsxEPeu","","2025-10-11T05:51:12.763Z","[]","ALIYA CELL","B432NajzpIiYQHMjsajM","K0721","0"
"FDDE1JdYCeTWN63LJhbz","","2025-10-03T05:10:43.980Z","[]","MADURA BUNDA","9pGAxSxQpP97NFr46tWJ","K2077","0"
"FFaaF7Crsf0ySnvCCzOH","","2025-11-11T07:20:39.180Z","[]","ULFA KHASANAH","yBsQQkZjVb4f23z50jbC","K1127","0"
"FJUVG10YfrIKeEKfQ4oz","","2025-10-11T03:28:53.233Z","[]","WAKHIDATUS SHOLEKHAH","kHooCaS0ksQrVzljSVVi","K1923","0"
"FVR5ikw92FXN0tcJeZOE","","2025-10-09T03:46:21.082Z","[]","TOKO HAPSARI","ZwFykP7rgzkf1aJM6g3n","K1936","0"
"FaxfH3wIqOauBgFtEdq6","","2025-10-24T17:00:00.000Z","[]","WINARNO","9uWRqV8KbynkKmi3nulk","K2021","0"
"FlTCfjrfDYUfc5fe949Y","","2025-11-13T05:26:59.621Z","[]","YANI","wa6cy9OSn1Nt8nknPGk4","K0462","0"
