id,hargaJualPerPcs,nama,isiPerBox,foto,hargaPerBox,available,createdAt
"eqWzbtAv3MmMCbLAYbYP","7000","STRAWBERRY MAX CONE","24","https://aice.sesarengan.my.id/storage/products/loHI7lxX7vORsRfALFeH5lwBaTh5GD46fHsKP4jG.webp","131000","false","2025-09-25T15:19:01.071Z"
"iegvzVPz0yZbNTHzwcj3","3000","FRUIZY BLUEBERRY YOGURT","40","https://aice.sesarengan.my.id/storage/products/ysW7oQ0V7lQ1V9Ec6HOofsMKSUOZ7RSsg6xQQl49.webp","96000","true","2025-09-25T15:09:43.946Z"
"jJ0aqMzW8XNZeKsXBWuQ","3000","2 COLOR","40","https://aice.sesarengan.my.id/storage/products/FiPaWBf1PZrGQUO7KF1AEkIIakjhgjNqhNdBtXap.webp","92000","true","2025-09-25T15:01:15.057Z"
"k7TnmqAqR1yAmsY042eK","2000","SEMANGKA","50","https://aice.sesarengan.my.id/storage/products/uFL1TtxuCAfpKEpkibghqaFeoGRL8tNc1ZH4cuke.webp","77500","true","2025-09-25T14:43:18.140Z"
"kaxtCMx6rMhQn9EbjJAw","5000","CRISPY BALLS ORIGINAL","30","https://aice.sesarengan.my.id/storage/products/a4Pqe82k2uzymeiWKmUP8AApZq3sCaPckMHJx5GM.webp","118500","true","2025-09-25T15:17:15.408Z"
"l1deHwCLSgFDr80nCpBh","8500","HISTERIA ORIGINAL","24","https://aice.sesarengan.my.id/storage/products/wXVBSjClwLdvFiAJ9eptqUsBpaEofWeM5FnyP5Y0.webp","152000","false","2025-09-25T15:20:40.981Z"
"sE1vrskyLfmynFjNEfrm","8500","HISTERIA PEACH","24","https://aice.sesarengan.my.id/storage/products/o49fpApTQ0umqAVtKyvSChbyqj3ZLz37IbrjDQpn.webp","152000","false","2025-09-25T15:20:07.157Z"
"sHRwloXPPG1VfsQTJl29","8500","HISTERIA MATCHA","24","https://aice.sesarengan.my.id/storage/products/1rIHtuGOl0qW8ongwR5zLI7a7dGATSQzxlpYWgb4.webp","152000","false","2025-09-25T15:21:08.426Z"
"sKjCtHbEsvTpBhbQOyHB","4000","FRUITY ROLL","40","https://aice.sesarengan.my.id/storage/products/YwmNWkWjU6erQOanhDQRHbMVkz8b7OqwnnZMIA1Z.jpg","124800","true","2025-09-25T15:13:38.585Z"
"xJbJEd4mYcSMcB4V4492","3000","MOCHI VANILLA","40","https://aice.sesarengan.my.id/storage/products/BpzgVpjZW2k7B8LnFYbxJT7bOUlapn3UPhlpQT9w.webp","92500","true","2025-09-25T15:04:04.629Z"
"xKVy2PZD4ymrzym0pndZ","4000","MOONG BEAN","30","https://aice.sesarengan.my.id/storage/products/AZvTal4r45JjOW06PpcUk9oaOWXbnzmmK5Kx1Hhr.png","96500","false","2025-09-25T15:10:59.845Z"
"xaB42zjrDkGuzdTP7tpO","4000","MANGO SLUSH","30","https://aice.sesarengan.my.id/storage/products/WHYEJiHU3fQz8du2hqaxjDrhjIEB5UYnS8ixE5gE.webp","90500","true","2025-09-25T15:00:09.654Z"
"y44wV7EqlAwgQKUJj38O","3000","MILK MELON","40","https://aice.sesarengan.my.id/storage/products/Jowhtqybp0E7rH1TIrL85J81tcFvnPVMYxNGHwuS.webp","95000","true","2025-09-25T15:09:07.784Z"
