tokoId,tokoNama,kodeToko,catatan,createdAt,total,items,id
"9bcbb48e-0211-483a-b795-18515c9f35e3","MADUN","K0373","","2025-10-28T07:40:05.000Z","789200","[{""productId"":""02942549-9659-4352-804b-5a5665a1302a"",""nama"":""CHOCO MALT"",""hargaPerBox"":80000,""isiPerBox"":50,""qtyBox"":1,""total"":80000},{""productId"":""978f2fba-a58a-4ead-b548-8fb64417b093"",""nama"":""CHOCOLATE STICK (BINGO)"",""hargaPerBox"":97000,""isiPerBox"":50,""qtyBox"":1,""total"":97000},{""productId"":""4b126c6b-3c14-49dd-9ff4-f3dec8bc3662"",""nama"":""CRISPY BALLS COOKIS"",""hargaPerBox"":118500,""isiPerBox"":40,""qtyBox"":1,""total"":118500},{""productId"":""1b10562d-5172-4528-a5fc-1f5c68630147"",""nama"":""MOCHI PEACH"",""hargaPerBox"":92500,""isiPerBox"":40,""qtyBox"":1,""total"":92500},{""productId"":""ce412f53-cbe1-4f99-a97f-994f9d4639fb"",""nama"":""MOCHI VANILLA"",""hargaPerBox"":92500,""isiPerBox"":40,""qtyBox"":1,""total"":92500},{""productId"":""55cb8d5e-5852-4e6c-ae02-1a6a02f7ea29"",""nama"":""SUNDAE CHOCOLATE"",""hargaPerBox"":97000,""isiPerBox"":24,""qtyBox"":1,""total"":97000},{""productId"":""49e0231e-af99-4110-9592-072d18ec59a0"",""nama"":""TARO CRISPY"",""hargaPerBox"":96500,""isiPerBox"":40,""qtyBox"":1,""total"":96500},{""productId"":""39defa48-f6f5-4088-8127-a832bf021ac8"",""nama"":""VANILLA BERRY CONE"",""hargaPerBox"":115200,""isiPerBox"":48,""qtyBox"":1,""total"":115200}]","5235d231-85fb-420e-87ec-c6eecc84e99d"
"335a016c-6258-4728-bb65-922bf554aeb8","KANTIN SMA AL HIKMAH","K0525","Order dari kunjungan: ","2025-10-23T03:00:02.107Z","496000","[{""productId"":""813ea956-40e3-4408-bee3-acdb66980318"",""nama"":""FRUIZY BLUEBERRY YOGURT"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000},{""productId"":""b54e5a8a-a7b0-4f58-854e-151b9ac7b147"",""nama"":""STRAWBERRY CRISPY"",""hargaPerBox"":110000,""isiPerBox"":40,""qtyBox"":1,""total"":110000},{""productId"":""55cb8d5e-5852-4e6c-ae02-1a6a02f7ea29"",""nama"":""SUNDAE CHOCOLATE"",""hargaPerBox"":97000,""isiPerBox"":24,""qtyBox"":1,""total"":97000},{""productId"":""e24cbe96-3587-437f-9a4a-36041590c16a"",""nama"":""SUNDAE STRAWBERRY"",""hargaPerBox"":97000,""isiPerBox"":24,""qtyBox"":1,""total"":97000},{""productId"":""1441bc6d-2850-4d09-92ef-032b2b3ad3c0"",""nama"":""SWEET CORN"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000}]","b6157832-f1ca-4f64-ab27-c1535b7d332d"
"4c4cb1e2-7e9f-45b2-97e8-4f1de565ca6e","SD IT AL HUSNA PELEMKEREP","K1656","Order dari kunjungan: ","2025-11-01T03:12:35.111Z","836500","[{""productId"":""02942549-9659-4352-804b-5a5665a1302a"",""nama"":""CHOCO MALT"",""hargaPerBox"":80000,""isiPerBox"":50,""qtyBox"":1,""total"":80000},{""productId"":""978f2fba-a58a-4ead-b548-8fb64417b093"",""nama"":""CHOCOLATE STICK (BINGO)"",""hargaPerBox"":97000,""isiPerBox"":50,""qtyBox"":1,""total"":97000},{""productId"":""421a7ad7-a36a-4882-b7fc-18004318e776"",""nama"":""CRISPY BALLS ORIGINAL"",""hargaPerBox"":118500,""isiPerBox"":30,""qtyBox"":1,""total"":118500},{""productId"":""23736cae-26f2-4bb6-bfa5-1e9819418946"",""nama"":""FRUITY ROLL"",""hargaPerBox"":124800,""isiPerBox"":40,""qtyBox"":1,""total"":124800},{""productId"":""8b377101-fe06-48f8-84f8-62c3ff2d94f4"",""nama"":""MILK MELON"",""hargaPerBox"":95000,""isiPerBox"":40,""qtyBox"":1,""total"":95000},{""productId"":""b54e5a8a-a7b0-4f58-854e-151b9ac7b147"",""nama"":""STRAWBERRY CRISPY"",""hargaPerBox"":110000,""isiPerBox"":40,""qtyBox"":1,""total"":110000},{""productId"":""1441bc6d-2850-4d09-92ef-032b2b3ad3c0"",""nama"":""SWEET CORN"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000},{""productId"":""39defa48-f6f5-4088-8127-a832bf021ac8"",""nama"":""VANILLA BERRY CONE"",""hargaPerBox"":115200,""isiPerBox"":48,""qtyBox"":1,""total"":115200}]","6caa1fd3-ac61-4ab5-91b4-14b753f55a96"
"899f4979-f37e-45a1-a867-04c21c04fe75","TOKO VIANA","K1911","Order dari kunjungan:","2025-10-08T04:52:41.964Z","446500","[{""productId"":""02942549-9659-4352-804b-5a5665a1302a"",""nama"":""CHOCO MALT"",""hargaPerBox"":80000,""isiPerBox"":50,""qtyBox"":1,""total"":80000},{""productId"":""978f2fba-a58a-4ead-b548-8fb64417b093"",""nama"":""CHOCOLATE STICK"",""hargaPerBox"":97000,""isiPerBox"":50,""qtyBox"":1,""total"":97000},{""productId"":""344b79cf-a037-4561-ba42-50626465dc90"",""nama"":""FRUIZY GRAPE"",""hargaPerBox"":80000,""isiPerBox"":50,""qtyBox"":1,""total"":80000},{""productId"":""adf3703f-33c4-4b26-b6eb-7e5731dbdb67"",""nama"":""MIKI-MIKI"",""hargaPerBox"":93500,""isiPerBox"":60,""qtyBox"":1,""total"":93500},{""productId"":""1441bc6d-2850-4d09-92ef-032b2b3ad3c0"",""nama"":""SWEET CORN"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000}]","e5041901-6619-4187-baf5-cb9df2c7238f"
"6eec6ca7-9c50-4869-aee5-594f3bfe1588","ALIYA CELL","K0721","","2025-10-04T08:07:39.371Z","484500","[{""hargaPerBox"":97500,""nama"":""CHOCOMELT CONE"",""isiPerBox"":24,""qtyBox"":1,""productId"":""091c691a-b5a5-41d4-9a77-d70b2fb32811"",""total"":97500},{""isiPerBox"":30,""productId"":""421a7ad7-a36a-4882-b7fc-18004318e776"",""nama"":""CRISPY BALLS ORIGINAL"",""hargaPerBox"":118500,""qtyBox"":1,""total"":118500},{""isiPerBox"":50,""nama"":""JERUK"",""hargaPerBox"":78000,""productId"":""0e3a07fb-d3a0-48fc-8209-d3d3649b292f"",""total"":78000,""qtyBox"":1},{""total"":93500,""isiPerBox"":60,""productId"":""97c8c35f-40d8-49fe-8e66-d051ebafe3fb"",""nama"":""MIKI-MIKI DOUBLE CHOCO"",""qtyBox"":1,""hargaPerBox"":93500},{""hargaPerBox"":97000,""isiPerBox"":24,""productId"":""e24cbe96-3587-437f-9a4a-36041590c16a"",""nama"":""SUNDAE STRAWBERRY"",""qtyBox"":1,""total"":97000}]","053cb224-13d8-40ef-a6eb-e8ad0bc7e124"
"447595c6-2025-4419-a012-8d94be89e4bc","TOSERBA JIWA MART","K2008","Order dari kunjungan: ","2025-10-07T08:15:14.478Z","633000","[{""productId"":""97bfb86b-50f3-4725-8ebc-a930107e1f3f"",""nama"":""CHOCOLATE CRISPY"",""hargaPerBox"":117000,""isiPerBox"":30,""qtyBox"":1,""total"":117000},{""productId"":""19153282-2d60-4826-932a-c7c9a0a958b7"",""nama"":""COFFE CRISPY"",""hargaPerBox"":110000,""isiPerBox"":40,""qtyBox"":1,""total"":110000},{""productId"":""4b126c6b-3c14-49dd-9ff4-f3dec8bc3662"",""nama"":""CRISPY BALLS COOKIS"",""hargaPerBox"":118500,""isiPerBox"":40,""qtyBox"":1,""total"":118500},{""productId"":""813ea956-40e3-4408-bee3-acdb66980318"",""nama"":""FRUIZY BLUEBERRY YOGURT"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000},{""productId"":""c64f588e-f38a-463e-be49-d005ce119adc"",""nama"":""MOCHI MANGO"",""hargaPerBox"":94500,""isiPerBox"":40,""qtyBox"":1,""total"":94500},{""productId"":""e24cbe96-3587-437f-9a4a-36041590c16a"",""nama"":""SUNDAE STRAWBERRY"",""hargaPerBox"":97000,""isiPerBox"":24,""qtyBox"":1,""total"":97000}]","06238b7a-bfa8-4861-bd88-18c490229df2"
"447595c6-2025-4419-a012-8d94be89e4bc","TOSERBA JIWA MART","K2008","Order dari kunjungan:","2025-10-21T07:58:00.328Z","603500","[{""productId"":""421a7ad7-a36a-4882-b7fc-18004318e776"",""nama"":""CRISPY BALLS ORIGINAL"",""hargaPerBox"":118500,""isiPerBox"":30,""qtyBox"":1,""total"":118500},{""productId"":""267ea0f8-db2a-4831-8eeb-35cbaae04604"",""nama"":""MANGO SLUSH"",""hargaPerBox"":90500,""isiPerBox"":30,""qtyBox"":1,""total"":90500},{""productId"":""8b377101-fe06-48f8-84f8-62c3ff2d94f4"",""nama"":""MILK MELON"",""hargaPerBox"":95000,""isiPerBox"":40,""qtyBox"":1,""total"":95000},{""productId"":""1b10562d-5172-4528-a5fc-1f5c68630147"",""nama"":""MOCHI PEACH"",""hargaPerBox"":92500,""isiPerBox"":40,""qtyBox"":1,""total"":92500},{""productId"":""b54e5a8a-a7b0-4f58-854e-151b9ac7b147"",""nama"":""STRAWBERRY CRISPY"",""hargaPerBox"":110000,""isiPerBox"":40,""qtyBox"":1,""total"":110000},{""productId"":""55cb8d5e-5852-4e6c-ae02-1a6a02f7ea29"",""nama"":""SUNDAE CHOCOLATE"",""hargaPerBox"":97000,""isiPerBox"":24,""qtyBox"":1,""total"":97000}]","ef4b99c5-1f5b-44b6-b3d5-bd30d6f1b45d"
"4eb562d0-9280-4e70-92ea-ccff2b2e6623","ULFA KHASANAH","K1127","","2025-09-30T17:00:00.000Z","269500","[{""productId"":""02942549-9659-4352-804b-5a5665a1302a"",""nama"":""CHOCO MALT"",""hargaPerBox"":80000,""isiPerBox"":50,""qtyBox"":1,""total"":80000},{""productId"":""97c8c35f-40d8-49fe-8e66-d051ebafe3fb"",""nama"":""MIKI-MIKI DOUBLE CHOCO"",""hargaPerBox"":93500,""isiPerBox"":60,""qtyBox"":1,""total"":93500},{""productId"":""1441bc6d-2850-4d09-92ef-032b2b3ad3c0"",""nama"":""SWEET CORN"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000}]","c43e8958-4a52-4ed7-996b-4d1780a9c64f"
"86c5013d-3fb3-4968-9d6f-a4c6ac3e34bd","ELLA 2 KANTIN MTS BALEKAMBANG","K0391","","2025-10-27T01:34:17.336Z","597500","[{""productId"":""19153282-2d60-4826-932a-c7c9a0a958b7"",""nama"":""COFFE CRISPY"",""hargaPerBox"":110000,""isiPerBox"":40,""qtyBox"":1,""total"":110000},{""productId"":""813ea956-40e3-4408-bee3-acdb66980318"",""nama"":""FRUIZY BLUEBERRY YOGURT"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000},{""productId"":""267ea0f8-db2a-4831-8eeb-35cbaae04604"",""nama"":""MANGO SLUSH"",""hargaPerBox"":90500,""isiPerBox"":30,""qtyBox"":1,""total"":90500},{""productId"":""8b377101-fe06-48f8-84f8-62c3ff2d94f4"",""nama"":""MILK MELON"",""hargaPerBox"":95000,""isiPerBox"":40,""qtyBox"":1,""total"":95000},{""productId"":""b54e5a8a-a7b0-4f58-854e-151b9ac7b147"",""nama"":""STRAWBERRY CRISPY"",""hargaPerBox"":110000,""isiPerBox"":40,""qtyBox"":1,""total"":110000},{""productId"":""1441bc6d-2850-4d09-92ef-032b2b3ad3c0"",""nama"":""SWEET CORN"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000}]","63926732-17cf-45c0-af41-07dd2ff1a07c"
"9bcbb48e-0211-483a-b795-18515c9f35e3","MADUN","K0373","","2025-10-21T00:10:38.960Z","638500","[{""productId"":""ff94f02b-8423-412b-84a7-90a4cdf95acd"",""nama"":""2 COLOR"",""hargaPerBox"":92000,""isiPerBox"":40,""qtyBox"":1,""total"":92000},{""productId"":""adf3703f-33c4-4b26-b6eb-7e5731dbdb67"",""nama"":""MIKI-MIKI"",""hargaPerBox"":93500,""isiPerBox"":60,""qtyBox"":2,""total"":187000},{""productId"":""97c8c35f-40d8-49fe-8e66-d051ebafe3fb"",""nama"":""MIKI-MIKI DOUBLE CHOCO"",""hargaPerBox"":93500,""isiPerBox"":60,""qtyBox"":1,""total"":93500},{""productId"":""1b10562d-5172-4528-a5fc-1f5c68630147"",""nama"":""MOCHI PEACH"",""hargaPerBox"":92500,""isiPerBox"":40,""qtyBox"":1,""total"":92500},{""productId"":""f9135088-2cf1-45ae-94b7-2dd4d6c54632"",""nama"":""SEMANGKA"",""hargaPerBox"":77500,""isiPerBox"":50,""qtyBox"":1,""total"":77500},{""productId"":""1441bc6d-2850-4d09-92ef-032b2b3ad3c0"",""nama"":""SWEET CORN"",""hargaPerBox"":96000,""isiPerBox"":40,""qtyBox"":1,""total"":96000}]","feaeac1f-f7cb-4a50-bc52-59ee84dbc1eb"
